temperature_K,polarizability_m3
110.5690224948383, 8.196202280926008e-31
140.03443148916193, 8.199194882401815e-31
169.4998404834855, 8.201216659829878e-31
198.96524947780915, 8.20360993286237e-31
228.4306584721328, 8.206031473041223e-31
257.89606746645643, 8.207948407677551e-31
287.36147646078007, 8.210539932560517e-31
316.8268854551036, 8.212368934269569e-31
346.29229444942723, 8.215458322825604e-31
375.75770344375087, 8.218069308806036e-31
405.2231124380745, 8.219607911048865e-31
434.68852143239815, 8.222851525505914e-31
464.1539304267218, 8.225148957218296e-31
493.6193394210454, 8.227692026283576e-31
523.084748415369, 8.23222573742617e-31
553.6662713867504, 8.235596269927256e-31
582.0155664040162, 8.238694102678006e-31
605.2307371268167, 8.241693355398665e-31
650.0538744454543, 8.24696786901554e-31
677.5328513727446, 8.250730418011025e-31
710.5918965610648, 8.257065299659325e-31
749.3814972882195, 8.26278214382223e-31
780.2374087294661, 8.26672421114458e-31
818.6317295402514, 8.273022553466757e-31
877.7411257652277, 8.282435441048659e-31
906.5815109323992, 8.28626770484842e-31
938.3814792297455, 8.291630254902195e-31
966.946974302793, 8.29512677643772e-31
998.5493026419547, 8.300217428833355e-31
1032.5684566626737, 8.306594597168813e-31
1086.9455296249255, 8.316025144952555e-31
1137.8403269787573, 8.325826556974986e-31
1190.0744611050582, 8.33630914821133e-31
1240.96925845889, 8.346526836420042e-31
1293.2033925851908, 8.356996813226499e-31
1342.7588531665533, 8.36787045178935e-31
1393.653650520385, 8.3788450057913e-31
1444.548447874217, 8.390197992689868e-31
1494.1039084555794, 8.401588822878097e-31
1543.6593690369416, 8.413131026224975e-31
1592.9469622638103, 8.425059231126403e-31
1641.4309534271974, 8.437880537663854e-31
1689.6470772360906, 8.450242678953406e-31
1737.8632010449837, 8.463134626298223e-31
1784.7399880814078, 8.47579951390507e-31
1831.6167751178318, 8.488565316951016e-31
1879.8328989267247, 8.502516876406367e-31
1925.3703491906795, 8.516203532834085e-31
1969.5684626821649, 8.529431024013906e-31
